2020-04-09 09:14:58.068[SpringContextShutdownHook][SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-04-09 09:14:58.069[SpringContextShutdownHook][SpringContextShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2020-04-09 09:14:58.072[SpringContextShutdownHook][SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2020-04-09 09:14:58.082[SpringContextShutdownHook][SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2020-04-09 09:15:22.313[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.mybatis.demo.mapper.MessageMapperTest], using SpringBootContextLoader
2020-04-09 09:15:22.321[main][main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.example.mybatis.demo.mapper.MessageMapperTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-04-09 09:15:22.322[main][main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.mybatis.demo.mapper.MessageMapperTest]: MessageMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-04-09 09:15:22.489[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.mybatis.demo.MybatisDemoApplication for test class com.example.mybatis.demo.mapper.MessageMapperTest
2020-04-09 09:15:22.651[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-04-09 09:15:22.680[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5038d0b5, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@32115b28, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2ad48653, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6bb4dd34, org.springframework.test.context.support.DirtiesContextTestExecutionListener@7d9f158f, org.springframework.test.context.transaction.TransactionalTestExecutionListener@45efd90f, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@4b8729ff, org.springframework.test.context.event.EventPublishingTestExecutionListener@61710c6, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3214ee6, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@383dc82c, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4a07d605, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@74287ea3, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7d7758be]
